id,area,section,level,question,question_en
458,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с state management (advanced)?,What common mistakes are made when working with state management (advanced)?
459,Backend,Node.js API,Middle,Как SSR влияет на производительность (advanced)?,How does SSR affect performance (advanced)?
460,Backend,Node.js API,Middle,Приведите production-пример использования testing.,Give a production example of using testing.
461,Backend,Node.js API,Middle,Что такое XSS (advanced)?,What is XSS (advanced)?
462,Backend,Node.js API,Middle,Как работает Node.js streams (advanced)?,How does Node.js streams work (advanced)?
463,Backend,Node.js API,Middle,Когда использовать REST API (advanced)?,When should you use REST API (advanced)?
464,Backend,Node.js API,Middle,Какие проблемы возникают при использовании transactions (advanced)?,What problems can arise when using transactions (advanced)?
465,Backend,Node.js API,Middle,Как протестировать indexes (advanced)?,How do you test indexes (advanced)?
466,Backend,Node.js API,Middle,Как оптимизировать Redis caching (advanced)?,How do you optimize Redis caching (advanced)?
467,Backend,Node.js API,Middle,Сравните message queues с альтернативным подходом.,Compare message queues with an alternative approach.
468,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с microservices (advanced)?,What common mistakes are made when working with microservices (advanced)?
469,Backend,Node.js API,Middle,Как JWT влияет на производительность (advanced)?,How does JWT affect performance (advanced)?
470,Backend,Node.js API,Middle,Приведите production-пример использования Docker.,Give a production example of using Docker.
471,Backend,Node.js API,Middle,Что такое observability (advanced)?,What is observability (advanced)?
472,Backend,Node.js API,Middle,Как работает system design (advanced)?,How does system design work (advanced)?
473,Backend,Node.js API,Middle,Когда использовать closures (advanced)?,When should you use closures (advanced)?
474,Backend,Node.js API,Middle,Какие проблемы возникают при использовании event loop (advanced)?,What problems can arise when using event loop (advanced)?
475,Backend,Node.js API,Middle,Как протестировать promises (advanced)?,How do you test promises (advanced)?
476,Backend,Node.js API,Senior,Как оптимизировать async/await (advanced)?,How do you optimize async/await (advanced)?
477,Backend,Node.js API,Senior,Сравните prototypes с альтернативным подходом.,Compare prototypes with an alternative approach.
478,Backend,Node.js API,Senior,Какие ошибки часто допускают при работе с TypeScript generics (advanced)?,What common mistakes are made when working with TypeScript generics (advanced)?
479,Backend,Node.js API,Senior,Как accessibility влияет на производительность (advanced)?,How does accessibility affect performance (advanced)?
480,Backend,Node.js API,Senior,Приведите production-пример использования CSS Grid.,Give a production example of using CSS Grid.
481,Backend,Node.js API,Senior,Что такое HTTP caching (advanced)?,What is HTTP caching (advanced)?
482,Backend,Node.js API,Senior,Как работает CORS (advanced)?,How does CORS work (advanced)?
483,Backend,Node.js API,Senior,Когда использовать React hooks (advanced)?,When should you use React hooks (advanced)?
484,Backend,Node.js API,Senior,Какие проблемы возникают при использовании state management (advanced)?,What problems can arise when using state management (advanced)?
485,Backend,Node.js API,Senior,Как протестировать SSR (advanced)?,How do you test SSR (advanced)?
486,Backend,Node.js API,Senior,Как оптимизировать testing (advanced)?,How do you optimize testing (advanced)?
487,Backend,Node.js API,Senior,Сравните XSS с альтернативным подходом.,Compare XSS with an alternative approach.
488,Backend,Node.js API,Senior,Какие ошибки часто допускают при работе с Node.js streams (advanced)?,What common mistakes are made when working with Node.js streams (advanced)?
489,Backend,Node.js API,Senior,Как REST API влияет на производительность (advanced)?,How does REST API affect performance (advanced)?
490,Backend,Node.js API,Senior,Приведите production-пример использования transactions.,Give a production example of using transactions.
491,Backend,Node.js API,Senior,Что такое indexes (advanced)?,What is indexes (advanced)?
492,Backend,Node.js API,Senior,Как работает Redis caching (advanced)?,How does Redis caching work (advanced)?
493,Backend,Node.js API,Senior,Когда использовать message queues (advanced)?,When should you use message queues (advanced)?
494,Backend,Node.js API,Senior,Какие проблемы возникают при использовании microservices (advanced)?,What problems can arise when using microservices (advanced)?
495,Backend,Node.js API,Senior,Как протестировать JWT (advanced)?,How do you test JWT (advanced)?
496,Backend,Node.js API,Senior,Как оптимизировать Docker (advanced)?,How do you optimize Docker (advanced)?
497,Backend,Node.js API,Senior,Сравните observability с альтернативным подходом.,Compare observability with an alternative approach.
498,Backend,Node.js API,Senior,Какие ошибки часто допускают при работе с system design (advanced)?,What common mistakes are made when working with system design (advanced)?
499,Backend,Node.js API,Senior,Как closures влияет на производительность (advanced)?,How does closures affect performance (advanced)?
500,Backend,Node.js API,Senior,Приведите production-пример использования event loop.,Give a production example of using event loop.
501,Backend,Node.js API,Junior,Что такое accessibility?,What is accessibility?
501,Backend,Databases,Junior,Что такое promises (advanced)?,What is promises (advanced)?
502,Backend,Node.js API,Junior,Как работает CSS Grid?,How does CSS Grid work?
502,Backend,Databases,Junior,Как работает async/await (advanced)?,How does async/await work (advanced)?
503,Backend,Node.js API,Junior,Когда использовать HTTP caching?,When should you use HTTP caching?
503,Backend,Databases,Junior,Когда использовать prototypes (advanced)?,When should you use prototypes (advanced)?
504,Backend,Node.js API,Junior,Какие проблемы возникают при использовании CORS?,What problems can arise when using CORS?
504,Backend,Databases,Junior,Какие проблемы возникают при использовании TypeScript generics (advanced)?,What problems can arise when using TypeScript generics (advanced)?
505,Backend,Node.js API,Junior,Как протестировать React hooks?,How do you test React hooks?
505,Backend,Databases,Junior,Как протестировать accessibility (advanced)?,How do you test accessibility (advanced)?
506,Backend,Node.js API,Junior,Как оптимизировать state management?,How do you optimize state management?
506,Backend,Databases,Junior,Как оптимизировать CSS Grid (advanced)?,How do you optimize CSS Grid (advanced)?
507,Backend,Node.js API,Junior,Сравните SSR с альтернативным подходом.,Compare SSR with an alternative approach.
507,Backend,Databases,Junior,Сравните HTTP caching с альтернативным подходом.,Compare HTTP caching with an alternative approach.
508,Backend,Node.js API,Junior,Какие ошибки часто допускают при работе с testing?,What common mistakes are made when working with testing?
508,Backend,Databases,Junior,Какие ошибки часто допускают при работе с CORS (advanced)?,What common mistakes are made when working with CORS (advanced)?
509,Backend,Node.js API,Junior,Как XSS влияет на производительность?,How does XSS affect performance?
509,Backend,Databases,Junior,Как React hooks влияет на производительность (advanced)?,How does React hooks affect performance (advanced)?
510,Backend,Node.js API,Junior,Приведите production-пример использования Node.js streams.,Give a production example of using Node.js streams.
510,Backend,Databases,Junior,Приведите production-пример использования state management.,Give a production example of using state management.
511,Backend,Node.js API,Junior,Что такое REST API?,What is REST API?
511,Backend,Databases,Junior,Что такое SSR (advanced)?,What is SSR (advanced)?
512,Backend,Node.js API,Junior,Как работает transactions?,How does transactions work?
512,Backend,Databases,Junior,Как работает testing (advanced)?,How does testing work (advanced)?
513,Backend,Node.js API,Junior,Когда использовать indexes?,When should you use indexes?
513,Backend,Databases,Junior,Когда использовать XSS (advanced)?,When should you use XSS (advanced)?
514,Backend,Node.js API,Junior,Какие проблемы возникают при использовании Redis caching?,What problems can arise when using Redis caching?
514,Backend,Databases,Junior,Какие проблемы возникают при использовании Node.js streams (advanced)?,What problems can arise when using Node.js streams (advanced)?
515,Backend,Node.js API,Junior,Как протестировать message queues?,How do you test message queues?
515,Backend,Databases,Junior,Как протестировать REST API (advanced)?,How do you test REST API (advanced)?
516,Backend,Node.js API,Junior,Как оптимизировать microservices?,How do you optimize microservices?
516,Backend,Databases,Junior,Как оптимизировать transactions (advanced)?,How do you optimize transactions (advanced)?
517,Backend,Node.js API,Junior,Сравните JWT с альтернативным подходом.,Compare JWT with an alternative approach.
517,Backend,Databases,Junior,Сравните indexes с альтернативным подходом.,Compare indexes with an alternative approach.
518,Backend,Node.js API,Junior,Какие ошибки часто допускают при работе с Docker?,What common mistakes are made when working with Docker?
518,Backend,Databases,Junior,Какие ошибки часто допускают при работе с Redis caching (advanced)?,What common mistakes are made when working with Redis caching (advanced)?
519,Backend,Node.js API,Junior,Как observability влияет на производительность?,How does observability affect performance?
519,Backend,Databases,Junior,Как message queues влияет на производительность (advanced)?,How does message queues affect performance (advanced)?
520,Backend,Node.js API,Junior,Приведите production-пример использования system design.,Give a production example of using system design.
520,Backend,Databases,Junior,Приведите production-пример использования microservices.,Give a production example of using microservices.
521,Backend,Node.js API,Junior,Что такое closures?,What is closures?
521,Backend,Databases,Junior,Что такое JWT (advanced)?,What is JWT (advanced)?
522,Backend,Node.js API,Junior,Как работает event loop?,How does event loop work?
522,Backend,Databases,Junior,Как работает Docker (advanced)?,How does Docker work (advanced)?
523,Backend,Node.js API,Junior,Когда использовать promises?,When should you use promises?
523,Backend,Databases,Junior,Когда использовать observability (advanced)?,When should you use observability (advanced)?
524,Backend,Node.js API,Junior,Какие проблемы возникают при использовании async/await?,What problems can arise when using async/await?
524,Backend,Databases,Junior,Какие проблемы возникают при использовании system design (advanced)?,What problems can arise when using system design (advanced)?
525,Backend,Node.js API,Junior,Как протестировать prototypes?,How do you test prototypes?
525,Backend,Databases,Junior,Как протестировать closures (advanced)?,How do you test closures (advanced)?
526,Backend,Node.js API,Junior,Как оптимизировать TypeScript generics?,How do you optimize TypeScript generics?
526,Backend,Databases,Junior,Как оптимизировать event loop (advanced)?,How do you optimize event loop (advanced)?
527,Backend,Node.js API,Junior,Сравните accessibility с альтернативным подходом.,Compare accessibility with an alternative approach.
527,Backend,Databases,Junior,Сравните promises с альтернативным подходом.,Compare promises with an alternative approach.
528,Backend,Node.js API,Junior,Какие ошибки часто допускают при работе с CSS Grid?,What common mistakes are made when working with CSS Grid?
528,Backend,Databases,Junior,Какие ошибки часто допускают при работе с async/await (advanced)?,What common mistakes are made when working with async/await (advanced)?
529,Backend,Node.js API,Junior,Как HTTP caching влияет на производительность?,How does HTTP caching affect performance?
529,Backend,Databases,Junior,Как prototypes влияет на производительность (advanced)?,How does prototypes affect performance (advanced)?
530,Backend,Node.js API,Junior,Приведите production-пример использования CORS.,Give a production example of using CORS.
530,Backend,Databases,Junior,Приведите production-пример использования TypeScript generics.,Give a production example of using TypeScript generics.
531,Backend,Node.js API,Middle,Что такое React hooks?,What is React hooks?
531,Backend,Databases,Middle,Что такое accessibility (advanced)?,What is accessibility (advanced)?
532,Backend,Node.js API,Middle,Как работает state management?,How does state management work?
532,Backend,Databases,Middle,Как работает CSS Grid (advanced)?,How does CSS Grid work (advanced)?
533,Backend,Node.js API,Middle,Когда использовать SSR?,When should you use SSR?
533,Backend,Databases,Middle,Когда использовать HTTP caching (advanced)?,When should you use HTTP caching (advanced)?
534,Backend,Node.js API,Middle,Какие проблемы возникают при использовании testing?,What problems can arise when using testing?
534,Backend,Databases,Middle,Какие проблемы возникают при использовании CORS (advanced)?,What problems can arise when using CORS (advanced)?
535,Backend,Node.js API,Middle,Как протестировать XSS?,How do you test XSS?
535,Backend,Databases,Middle,Как протестировать React hooks (advanced)?,How do you test React hooks (advanced)?
536,Backend,Node.js API,Middle,Как оптимизировать Node.js streams?,How do you optimize Node.js streams?
536,Backend,Databases,Middle,Как оптимизировать state management (advanced)?,How do you optimize state management (advanced)?
537,Backend,Node.js API,Middle,Сравните REST API с альтернативным подходом.,Compare REST API with an alternative approach.
537,Backend,Databases,Middle,Сравните SSR с альтернативным подходом.,Compare SSR with an alternative approach.
538,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с transactions?,What common mistakes are made when working with transactions?
538,Backend,Databases,Middle,Какие ошибки часто допускают при работе с testing (advanced)?,What common mistakes are made when working with testing (advanced)?
539,Backend,Node.js API,Middle,Как indexes влияет на производительность?,How does indexes affect performance?
539,Backend,Databases,Middle,Как XSS влияет на производительность (advanced)?,How does XSS affect performance (advanced)?
540,Backend,Node.js API,Middle,Приведите production-пример использования Redis caching.,Give a production example of using Redis caching.
540,Backend,Databases,Middle,Приведите production-пример использования Node.js streams.,Give a production example of using Node.js streams.
541,Backend,Node.js API,Middle,Что такое message queues?,What is message queues?
541,Backend,Databases,Middle,Что такое REST API (advanced)?,What is REST API (advanced)?
542,Backend,Node.js API,Middle,Как работает microservices?,How does microservices work?
542,Backend,Databases,Middle,Как работает transactions (advanced)?,How does transactions work (advanced)?
543,Backend,Node.js API,Middle,Когда использовать JWT?,When should you use JWT?
543,Backend,Databases,Middle,Когда использовать indexes (advanced)?,When should you use indexes (advanced)?
544,Backend,Node.js API,Middle,Какие проблемы возникают при использовании Docker?,What problems can arise when using Docker?
544,Backend,Databases,Middle,Какие проблемы возникают при использовании Redis caching (advanced)?,What problems can arise when using Redis caching (advanced)?
545,Backend,Node.js API,Middle,Как протестировать observability?,How do you test observability?
545,Backend,Databases,Middle,Как протестировать message queues (advanced)?,How do you test message queues (advanced)?
546,Backend,Node.js API,Middle,Как оптимизировать system design?,How do you optimize system design?
546,Backend,Databases,Middle,Как оптимизировать microservices (advanced)?,How do you optimize microservices (advanced)?
547,Backend,Node.js API,Middle,Сравните closures с альтернативным подходом.,Compare closures with an alternative approach.
547,Backend,Databases,Middle,Сравните JWT с альтернативным подходом.,Compare JWT with an alternative approach.
548,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с event loop?,What common mistakes are made when working with event loop?
548,Backend,Databases,Middle,Какие ошибки часто допускают при работе с Docker (advanced)?,What common mistakes are made when working with Docker (advanced)?
549,Backend,Node.js API,Middle,Как promises влияет на производительность?,How does promises affect performance?
549,Backend,Databases,Middle,Как observability влияет на производительность (advanced)?,How does observability affect performance (advanced)?
550,Backend,Node.js API,Middle,Приведите production-пример использования async/await.,Give a production example of using async/await.
550,Backend,Databases,Middle,Приведите production-пример использования system design.,Give a production example of using system design.
551,Backend,Node.js API,Middle,Что такое prototypes?,What is prototypes?
551,Backend,Databases,Middle,Что такое closures (advanced)?,What is closures (advanced)?
552,Backend,Node.js API,Middle,Как работает TypeScript generics?,How does TypeScript generics work?
552,Backend,Databases,Middle,Как работает event loop (advanced)?,How does event loop work (advanced)?
553,Backend,Node.js API,Middle,Когда использовать accessibility?,When should you use accessibility?
553,Backend,Databases,Middle,Когда использовать promises (advanced)?,When should you use promises (advanced)?
554,Backend,Node.js API,Middle,Какие проблемы возникают при использовании CSS Grid?,What problems can arise when using CSS Grid?
554,Backend,Databases,Middle,Какие проблемы возникают при использовании async/await (advanced)?,What problems can arise when using async/await (advanced)?
555,Backend,Node.js API,Middle,Как протестировать HTTP caching?,How do you test HTTP caching?
555,Backend,Databases,Middle,Как протестировать prototypes (advanced)?,How do you test prototypes (advanced)?
556,Backend,Node.js API,Middle,Как оптимизировать CORS?,How do you optimize CORS?
556,Backend,Databases,Middle,Как оптимизировать TypeScript generics (advanced)?,How do you optimize TypeScript generics (advanced)?
557,Backend,Node.js API,Middle,Сравните React hooks с альтернативным подходом.,Compare React hooks with an alternative approach.
557,Backend,Databases,Middle,Сравните accessibility с альтернативным подходом.,Compare accessibility with an alternative approach.
558,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с state management?,What common mistakes are made when working with state management?
558,Backend,Databases,Middle,Какие ошибки часто допускают при работе с CSS Grid (advanced)?,What common mistakes are made when working with CSS Grid (advanced)?
559,Backend,Node.js API,Middle,Как SSR влияет на производительность?,How does SSR affect performance?
559,Backend,Databases,Middle,Как HTTP caching влияет на производительность (advanced)?,How does HTTP caching affect performance (advanced)?
560,Backend,Node.js API,Middle,Приведите production-пример использования testing.,Give a production example of using testing.
560,Backend,Databases,Middle,Приведите production-пример использования CORS.,Give a production example of using CORS.
561,Backend,Node.js API,Middle,Что такое XSS?,What is XSS?
561,Backend,Databases,Middle,Что такое React hooks (advanced)?,What is React hooks (advanced)?
562,Backend,Node.js API,Middle,Как работает Node.js streams?,How does Node.js streams work?
562,Backend,Databases,Middle,Как работает state management (advanced)?,How does state management work (advanced)?
563,Backend,Node.js API,Middle,Когда использовать REST API?,When should you use REST API?
563,Backend,Databases,Middle,Когда использовать SSR (advanced)?,When should you use SSR (advanced)?
564,Backend,Node.js API,Middle,Какие проблемы возникают при использовании transactions?,What problems can arise when using transactions?
564,Backend,Databases,Middle,Какие проблемы возникают при использовании testing (advanced)?,What problems can arise when using testing (advanced)?
565,Backend,Node.js API,Middle,Как протестировать indexes?,How do you test indexes?
565,Backend,Databases,Middle,Как протестировать XSS (advanced)?,How do you test XSS (advanced)?
566,Backend,Node.js API,Middle,Как оптимизировать Redis caching?,How do you optimize Redis caching?
566,Backend,Databases,Middle,Как оптимизировать Node.js streams (advanced)?,How do you optimize Node.js streams (advanced)?
567,Backend,Node.js API,Middle,Сравните message queues с альтернативным подходом.,Compare message queues with an alternative approach.
567,Backend,Databases,Middle,Сравните REST API с альтернативным подходом.,Compare REST API with an alternative approach.
568,Backend,Node.js API,Middle,Какие ошибки часто допускают при работе с microservices?,What common mistakes are made when working with microservices?
568,Backend,Databases,Middle,Какие ошибки часто допускают при работе с transactions (advanced)?,What common mistakes are made when working with transactions (advanced)?
569,Backend,Node.js API,Middle,Как JWT влияет на производительность?,How does JWT affect performance?
569,Backend,Databases,Middle,Как indexes влияет на производительность (advanced)?,How does indexes affect performance (advanced)?
570,Backend,Node.js API,Middle,Приведите production-пример использования Docker.,Give a production example of using Docker.
570,Backend,Databases,Middle,Приведите production-пример использования Redis caching.,Give a production example of using Redis caching.
571,Backend,Node.js API,Middle,Что такое observability?,What is observability?
571,Backend,Databases,Middle,Что такое message queues (advanced)?,What is message queues (advanced)?
572,Backend,Node.js API,Middle,Как работает system design?,How does system design work?
572,Backend,Databases,Middle,Как работает microservices (advanced)?,How does microservices work (advanced)?
573,Backend,Node.js API,Middle,Когда использовать closures?,When should you use closures?
573,Backend,Databases,Middle,Когда использовать JWT (advanced)?,When should you use JWT (advanced)?
574,Backend,Node.js API,Middle,Какие проблемы возникают при использовании event loop?,What problems can arise when using event loop?
574,Backend,Databases,Middle,Какие проблемы возникают при использовании Docker (advanced)?,What problems can arise when using Docker (advanced)?
575,Backend,Node.js API,Middle,Как протестировать promises?,How do you test promises?
575,Backend,Databases,Middle,Как протестировать observability (advanced)?,How do you test observability (advanced)?
576,Backend,Node.js API,Senior,Как оптимизировать async/await?,How do you optimize async/await?
576,Backend,Databases,Senior,Как оптимизировать system design (advanced)?,How do you optimize system design (advanced)?
577,Backend,Node.js API,Senior,Сравните prototypes с альтернативным подходом.,Compare prototypes with an alternative approach.
577,Backend,Databases,Senior,Сравните closures с альтернативным подходом.,Compare closures with an alternative approach.
578,Backend,Node.js API,Senior,Какие ошибки часто допускают при работе с TypeScript generics?,What common mistakes are made when working with TypeScript generics?
578,Backend,Databases,Senior,Какие ошибки часто допускают при работе с event loop (advanced)?,What common mistakes are made when working with event loop (advanced)?
579,Backend,Node.js API,Senior,Как accessibility влияет на производительность?,How does accessibility affect performance?
579,Backend,Databases,Senior,Как promises влияет на производительность (advanced)?,How does promises affect performance (advanced)?
580,Backend,Node.js API,Senior,Приведите production-пример использования CSS Grid.,Give a production example of using CSS Grid.
580,Backend,Databases,Senior,Приведите production-пример использования async/await.,Give a production example of using async/await.
581,Backend,Node.js API,Senior,Что такое HTTP caching?,What is HTTP caching?
581,Backend,Databases,Senior,Что такое prototypes (advanced)?,What is prototypes (advanced)?
582,Backend,Node.js API,Senior,Как работает CORS?,How does CORS work?
582,Backend,Databases,Senior,Как работает TypeScript generics (advanced)?,How does TypeScript generics work (advanced)?
583,Backend,Node.js API,Senior,Когда использовать React hooks?,When should you use React hooks?
583,Backend,Databases,Senior,Когда использовать accessibility (advanced)?,When should you use accessibility (advanced)?
584,Backend,Node.js API,Senior,Какие проблемы возникают при использовании state management?,What problems can arise when using state management?
584,Backend,Databases,Senior,Какие проблемы возникают при использовании CSS Grid (advanced)?,What problems can arise when using CSS Grid (advanced)?
585,Backend,Node.js API,Senior,Как протестировать SSR?,How do you test SSR?
585,Backend,Databases,Senior,Как протестировать HTTP caching (advanced)?,How do you test HTTP caching (advanced)?
586,Backend,Node.js API,Senior,Как оптимизировать testing?,How do you optimize testing?
586,Backend,Databases,Senior,Как оптимизировать CORS (advanced)?,How do you optimize CORS (advanced)?
587,Backend,Node.js API,Senior,Сравните XSS с альтернативным подходом.,Compare XSS with an alternative approach.
587,Backend,Databases,Senior,Сравните React hooks с альтернативным подходом.,Compare React hooks with an alternative approach.
588,Backend,Node.js API,Senior,Какие ошибки часто допускают при работе с Node.js streams?,What common mistakes are made when working with Node.js streams?
588,Backend,Databases,Senior,Какие ошибки часто допускают при работе с state management (advanced)?,What common mistakes are made when working with state management (advanced)?
589,Backend,Node.js API,Senior,Как REST API влияет на производительность?,How does REST API affect performance?
589,Backend,Databases,Senior,Как SSR влияет на производительность (advanced)?,How does SSR affect performance (advanced)?
590,Backend,Node.js API,Senior,Приведите production-пример использования transactions.,Give a production example of using transactions.
590,Backend,Databases,Senior,Приведите production-пример использования testing.,Give a production example of using testing.
591,Backend,Node.js API,Senior,Что такое indexes?,What is indexes?
591,Backend,Databases,Senior,Что такое XSS (advanced)?,What is XSS (advanced)?
592,Backend,Node.js API,Senior,Как работает Redis caching?,How does Redis caching work?
592,Backend,Databases,Senior,Как работает Node.js streams (advanced)?,How does Node.js streams work (advanced)?
593,Backend,Node.js API,Senior,Когда использовать message queues?,When should you use message queues?
593,Backend,Databases,Senior,Когда использовать REST API (advanced)?,When should you use REST API (advanced)?
594,Backend,Node.js API,Senior,Какие проблемы возникают при использовании microservices?,What problems can arise when using microservices?
594,Backend,Databases,Senior,Какие проблемы возникают при использовании transactions (advanced)?,What problems can arise when using transactions (advanced)?
595,Backend,Node.js API,Senior,Как протестировать JWT?,How do you test JWT?
595,Backend,Databases,Senior,Как протестировать indexes (advanced)?,How do you test indexes (advanced)?
596,Backend,Node.js API,Senior,Как оптимизировать Docker?,How do you optimize Docker?
596,Backend,Databases,Senior,Как оптимизировать Redis caching (advanced)?,How do you optimize Redis caching (advanced)?
597,Backend,Node.js API,Senior,Сравните observability с альтернативным подходом.,Compare observability with an alternative approach.
597,Backend,Databases,Senior,Сравните message queues с альтернативным подходом.,Compare message queues with an alternative approach.
598,Backend,Node.js API,Senior,Какие ошибки часто допускают при работе с system design?,What common mistakes are made when working with system design?
598,Backend,Databases,Senior,Какие ошибки часто допускают при работе с microservices (advanced)?,What common mistakes are made when working with microservices (advanced)?
599,Backend,Node.js API,Senior,Как closures влияет на производительность?,How does closures affect performance?
599,Backend,Databases,Senior,Как JWT влияет на производительность (advanced)?,How does JWT affect performance (advanced)?
600,Backend,Node.js API,Senior,Приведите production-пример использования event loop.,Give a production example of using event loop.
